Nom du fichier xlsx,EACEI_2023_T1,Unnamed: 2,Unnamed: 3
Date de création du fichier,2025-05-13T14:57:03,,
Onglet,Secteur d'activité,NAF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon le secteur d'activité en NAF. rév.2,
Onglet,Effectif,TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,
Onglet,Régions,REG_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la région,
Source,Enquête sur les consommations d'énergie dans l'industrie 2023,,
,,,
COD_VAR,LIB_VAR,COD_MOD,LIB_MOD
FREQ,Fréquence,A,Annuel
TIME_PERIOD,Période temporelle,2023 -> 2023,2023 -> 2023
GEO_DATE,Millésime géographique,2023,2023
GEO_SCOPE,Périmètre géographique,FE,France entière
GEO_OBJECT,Niveau géographique,OTHER,Autre type de territoires
GEO_OBJECT,Niveau géographique,REG,Région
GEO_OBJECT,Niveau géographique,FRANCE,France
GEO,Géographie,,
ACTIVITY,Activité économique,B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
ACTIVITY,Activité économique,C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
ACTIVITY,Activité économique,13,Fabrication de textiles
ACTIVITY,Activité économique,14,Industrie de l'habillement
ACTIVITY,Activité économique,15,Industrie du cuir et de la chaussure
ACTIVITY,Activité économique,16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
ACTIVITY,Activité économique,17,Industrie du papier et du carton
ACTIVITY,Activité économique,18,Imprimerie et reproduction d'enregistrements
ACTIVITY,Activité économique,20,Industrie chimique
ACTIVITY,Activité économique,21,Industrie pharmaceutique
ACTIVITY,Activité économique,22,Fabrication de produits en caoutchouc et en plastique
ACTIVITY,Activité économique,23,Fabrication d'autres produits minéraux non métalliques
ACTIVITY,Activité économique,24,Métallurgie
ACTIVITY,Activité économique,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
ACTIVITY,Activité économique,26,"Fabrication de produits informatiques, électroniques et optiques"
ACTIVITY,Activité économique,27,Fabrication d'équipements électriques
ACTIVITY,Activité économique,28,Fabrication de machines et équipements n.c.a.
ACTIVITY,Activité économique,29,Industrie automobile
ACTIVITY,Activité économique,30,Fabrication d'autres matériels de transport
ACTIVITY,Activité économique,31,Fabrication de meubles
ACTIVITY,Activité économique,32,Autres industries manufacturières
ACTIVITY,Activité économique,33,Réparation et installation de machines et d'équipements
ACTIVITY,Activité économique,38,"Collecte, traitement et élimination des déchets ; récupération"
ACTIVITY,Activité économique,_T,Total
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,1_2005,Comparable aux années postérieures à 2005
COMPARE_TIME,Indicateur de comparabilité aux années antérieures,_Z,Non applicable
EACEI_MEASURE,Mesure,EFFECTIF,Nombre d’établissements
EACEI_MEASURE,Mesure,CMSR_CSTP,Consommation de combustibles minéraux solides
EACEI_MEASURE,Mesure,GAZR_CSTP,Consommation de gaz naturel et autres gaz
EACEI_MEASURE,Mesure,BIOR_CSTP,Consommation de biogaz et biométhane
EACEI_MEASURE,Mesure,IR_CSTP,Consommation de coke de pétrole
EACEI_MEASURE,Mesure,JR_CSTP,Consommation de butane-propane
EACEI_MEASURE,Mesure,KR_CSTP,Consommation de fioul lourd
EACEI_MEASURE,Mesure,LR_CSTP,Consommation de fioul domestique
EACEI_MEASURE,Mesure,QR_CSTP,Consommation de gazole non routier
