"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"13";"Fabrication de textiles"
"ACTIVITY";"Activité économique";"14";"Industrie de l'habillement"
"ACTIVITY";"Activité économique";"15";"Industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"16";"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
"ACTIVITY";"Activité économique";"17";"Industrie du papier et du carton"
"ACTIVITY";"Activité économique";"18";"Imprimerie et reproduction d'enregistrements"
"ACTIVITY";"Activité économique";"20";"Industrie chimique"
"ACTIVITY";"Activité économique";"21";"Industrie pharmaceutique"
"ACTIVITY";"Activité économique";"22";"Fabrication de produits en caoutchouc et en plastique"
"ACTIVITY";"Activité économique";"23";"Fabrication d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"24";"Métallurgie"
"ACTIVITY";"Activité économique";"25";"Fabrication de produits métalliques, à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"26";"Fabrication de produits informatiques, électroniques et optiques"
"ACTIVITY";"Activité économique";"27";"Fabrication d'équipements électriques"
"ACTIVITY";"Activité économique";"28";"Fabrication de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"29";"Industrie automobile"
"ACTIVITY";"Activité économique";"30";"Fabrication d'autres matériels de transport"
"ACTIVITY";"Activité économique";"31";"Fabrication de meubles"
"ACTIVITY";"Activité économique";"32";"Autres industries manufacturières"
"ACTIVITY";"Activité économique";"33";"Réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"38";"Collecte, traitement et élimination des déchets ; récupération"
"ACTIVITY";"Activité économique";"B07T09";"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
"ACTIVITY";"Activité économique";"B07T09_E383";"Industries extractives ; récupération"
"ACTIVITY";"Activité économique";"C10T12";"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"ACTIVITY";"Activité économique";"C13T15";"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure"
"ACTIVITY";"Activité économique";"C16T18";"Travail du bois, industries du papier et imprimerie"
"ACTIVITY";"Activité économique";"C22_23";"Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"C24_25";"Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements"
"ACTIVITY";"Activité économique";"C26T28";"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a."
"ACTIVITY";"Activité économique";"C29_30";"Fabrication de matériels de transport"
"ACTIVITY";"Activité économique";"C31T33";"Autres industries manufacturières ; réparation et installation de machines et d'équipements"
"ACTIVITY";"Activité économique";"_T";"Total"
"COMPARE_TIME";"Indicateur de comparabilité aux années antérieures";"_Z";"Non applicable"
"COMPARE_TIME";"Indicateur de comparabilité aux années antérieures";"0_2005";"Comparable aux années antérieures à 2005"
"COMPARE_TIME";"Indicateur de comparabilité aux années antérieures";"1_2005";"Comparable aux années postérieures à 2005"
"CONF_STATUS";"Statut de confidentialité";"C";"Confidentiel (secret statistique)"
"CONF_STATUS";"Statut de confidentialité";"F";"Diffusable"
